Faculty,Year,Gender,Hr_SS  ,Hr_LL ,Resources_SS,Study_method ,Rem_LL,Rem_SS,Retain_SS_LL  ,Exam_recall,Challenge_LL  ,Challenge_SS,Long_term_retention ,Combine_LM_SS,Conceptual_understanding_LL ,Deeper_understanding_SS  
Faculty of Humanities and Social Sciences,3rd Year,Female,6-10 hours,16-20 hours,YouTube Videos,Both equally,3,3,More from self-study,4,Difficulty remembering information after the lecture,Time management,Both equally,Often,No,Agree
Faculty of Humanities and Social Sciences,3rd Year,Female,6-10 hours,11-15 hours,Online Courses,Self-study,3,4,More from self-study,5,Difficulty concentrating,Lack of focus,Self-study,Often,No,Agree
Faculty of Humanities and Social Sciences,3rd Year,Female,11-15 hours,16-20 hours,YouTube Videos,Self-study,3,5,More from self-study,5,Difficulty remembering information after the lecture,Time management,Self-study,Sometimes,Maybe,Agree
Faculty of Humanities and Social Sciences,3rd Year,Female,0-5 hours,0-5 hours,Online Courses,Listening to lectures,3,3,More from self-study,3,Difficulty concentrating,Lack of focus,Self-study,Often,Yes,Agree
Faculty of Humanities and Social Sciences,3rd Year,Female,11-15 hours,More than 20 hours,YouTube Videos,Both equally,4,5,More from lectures,4,Difficulty concentrating,Other,Both equally,Always,Yes,Neutral
Faculty of Humanities and Social Sciences,2nd Year,Female,11-15 hours,6-10 hours,YouTube Videos,Self-study,4,4,More from self-study,5,Difficulty remembering information after the lecture,Time management,Both equally,Always,Maybe,Strongly disagree
Faculty of Humanities and Social Sciences,2nd Year,Female,6-10 hours,0-5 hours,YouTube Videos,Self-study,3,2,More from self-study,3,Limited interaction with the lecturer,Time management,Self-study,Sometimes,Yes,Agree
Faculty of Humanities and Social Sciences,3rd Year,Female,6-10 hours,6-10 hours,Academic Journals,Both equally,4,4,More from self-study,3,Difficulty concentrating,Time management,Both equally,Sometimes,Maybe,Neutral
Faculty of Humanities and Social Sciences,3rd Year,Female,0-5 hours,0-5 hours,YouTube Videos,Both equally,3,4,More from self-study,4,Difficulty remembering information after the lecture,Lack of focus,Both equally,Often,Maybe,Agree
Faculty of Humanities and Social Sciences,3rd Year,Female,0-5 hours,0-5 hours,Other,Both equally,3,3,More from self-study,3,Difficulty concentrating,Lack of motivation,Both equally,Sometimes,Maybe,Agree
Faculty of Humanities and Social Sciences,3rd Year,Female,6-10 hours,6-10 hours,Online Courses,Both equally,3,4,More from lectures,4,Difficulty concentrating,Time management,Both equally,Sometimes,Maybe,Neutral
Faculty of Humanities and Social Sciences,3rd Year,Female,0-5 hours,6-10 hours,Other,Both equally,5,4,More from lectures,3,Other,Lack of motivation,Both equally,Sometimes,Maybe,Agree
Faculty of Humanities and Social Sciences,3rd Year,Female,6-10 hours,11-15 hours,YouTube Videos,Both equally,3,4,More from lectures,3,Lack of engagement during long lectures,Lack of motivation,Both equally,Always,Maybe,Agree
Faculty of Humanities and Social Sciences,2nd Year,Female,6-10 hours,16-20 hours,YouTube Videos,Both equally,3,3,More from lectures,3,Difficulty concentrating,Difficulty understanding complex topics,Both equally,Sometimes,Maybe,Agree
Faculty of Humanities and Social Sciences,3rd Year,Female,11-15 hours,11-15 hours,Academic Journals,Both equally,3,3,More from self-study,4,Difficulty remembering information after the lecture,Time management,Both equally,Sometimes,Maybe,Agree
Faculty of Humanities and Social Sciences,3rd Year,Female,0-5 hours,0-5 hours,Online Courses,Self-study,2,4,More from self-study,4,Difficulty concentrating,Lack of motivation,Self-study,Often,No,Strongly agree
Faculty of Humanities and Social Sciences,3rd Year,Female,0-5 hours,6-10 hours,Other,Both equally,3,3,More from lectures,3,Difficulty remembering information after the lecture,Time management,Both equally,Rarely,Maybe,Agree
Faculty of Humanities and Social Sciences,3rd Year,Female,11-15 hours,6-10 hours,YouTube Videos,Both equally,3,4,More from self-study,3,Lack of engagement during long lectures,Time management,Both equally,Often,Maybe,Strongly agree
Faculty of Humanities and Social Sciences,3rd Year,Male,6-10 hours,11-15 hours,YouTube Videos,Both equally,3,4,More from self-study,3,Limited interaction with the lecturer,Time management,Self-study,Sometimes,Maybe,Neutral
Faculty of Medical Sciences,4th Year,Female,6-10 hours,11-15 hours,YouTube Videos,Listening to lectures,3,4,More from self-study,3,Lack of engagement during long lectures,Time management,Both equally,Always,Maybe,Agree
Faculty of Humanities and Social Sciences,1st Year,Female,11-15 hours,6-10 hours,Academic Journals,Both equally,2,2,More from self-study,3,Difficulty remembering information after the lecture,Lack of focus,Both equally,Always,Maybe,Neutral
